state,trump_favorable,trump_unfavorable
AR,63,34
AZ,46,52
CO,37,60
CT,40,58
FL,47,50
GA,47,50
IA,47,49
IN,52,45
KS,54,43
MA,28,69
MD,31,66
ME,41,57
MI,42,55
MN,42,55
MO,56,41
MS,53,45
MT,52,46
NC,48,49
ND,67,31
NH,37,61
NJ,36,60
NM,46,51
NV,43,54
NY,36,61
OH,48,49
OK,66,31
OR,36,62
PA,45,52
SC,52,46
TN,56,41
TX,50,47
UT,53,43
VA,42,56
VT,26,72
WI,47,50
WV,68,30
